,0.017,-5.584,RfN,7.7,6.2,,,,,,,
,0.012,-0.044,RfN,7.0,10.2,,,,,,,
,0.012,-0.752,RfN,7.8,8.6,,,,,,,
,-0.003,-8.053,RfN,9.5,1.8,,,,,,,
,0.006,4.062,RfN,9.5,1.2,,,,,,,
,0.009,-1.883,RfN,8.7,1.8,,,,,,,
,0.023,24.491,RfN,9.0,1.2,,,,,,,
,-0.012,-18.671,RfN,8.3,5.2,,,,,,,
,0.024,-6.398,RfN,9.5,0.6,,,,,,,
,0.038,8.801,RfN,10.5,13.6,,,,,,,
,0.007,0.209,RfN,9.5,8.6,,,,,,,
,0.091,4.866,RfN,8.6,1.2,,,,,,,
,0.024,-3.492,RfN,9.5,2.8,,,,,,,
,0.037,0.192,RfN,9.2,0.6,,,,,,,
,0.027,-15.926,RfN,10.0,1.2,,,,,,,
,0.110,44.578,RfN,9.5,4.6,,,,,,,
,-0.024,-40.234,RfN,9.3,1.8,,,,,,,
,0.075,3.318,RfN,9.5,2.2,,,,,,,
,0.008,0.172,RfN,9.0,6.8,,,,,,,
,0.001,-0.134,RfN,9.0,6.2,,,,,,,
,0.006,1.021,RfN,8.5,12.0,,,,,,,
,0.026,19.415,RfN,9.0,3.4,,,,,,,
,-0.008,-20.401,RfN,9.0,4.6,,,,,,,
,0.026,0.115,RfN,,2.8,,,,,,,
,0.012,0.053,RfN,9.7,1.2,,,,,,,
,0.126,29.433,RfN,7.5,6.8,,,,,,,
,0.190,-13.212,RfN,9.3,,,,,,,,
,0.003,-0.253,RfN,9.5,1.8,,,,,,,
,0.005,-0.020,RfN,8.8,5.6,,,,,,,
,0.008,0.549,RfN,9.4,5.2,,,,,,,
,-0.015,-19.993,RfN,8.6,11.4,,,,,,,
,0.034,16.987,RfN,4.5,36.0,,,,,,,
,0.003,2.989,RfN,8.7,6.2,,,,,,,
,0.111,-37.572,RfN,9.5,0.6,,,,,,,
,0.006,-0.148,RfN,,2.8,,,,,,,
,0.113,28.714,RfN,9.3,2.2,,,,,,,
,0.171,-11.596,RfN,8.2,4.0,,,,,,,
,0.056,1.414,RfN,8.8,2.8,,,,,,,
,0.022,-2.435,RfN,7.2,14.2,,,,,,,
,0.014,-0.933,RfN,9.5,2.2,,,,,,,
,0.001,0.781,RfN,8.7,8.0,,,,,,,
,0.012,0.748,RfN,9.4,1.8,,,,,,,
,0.008,-0.871,RfN,9.2,4.0,,,,,,,
,0.009,1.122,RfN,7.0,20.0,,,,,,,
,0.014,-1.872,RfN,8.5,11.2,,,,,,,
,0.023,1.032,RfN,5.4,5.6,,,,,,,
,0.216,-12.730,RfN,9.2,5.6,,,,,,,
,0.215,7.124,RfN,9.9,2.2,,,,,,,
,0.067,-8.433,RfN,7.3,16.0,,,,,,,
,8.372,-0.781,RfN,2.9,200.0,,,,,,,
,0.219,6.653,RfN,4.0,11.4,,,,,,,
,0.119,-0.757,RfN,6.4,8.6,,,,,,,
,0.015,0.173,RfN,8.1,14.2,,,,,,,
,0.008,-0.073,RfN,7.3,9.0,,,,,,,
,0.011,-5.475,RfN,2.9,56.0,,,Alniyat,,,,
,0.070,1.127,RfN,7.9,28.0,,,,,,,
,0.003,1.019,RfN,4.6,62.0,,,,,,,
,0.064,-2.985,RfN,0.9,82.0,,,Antares,,,,
,0.013,1.317,RfN,4.8,28.0,,,,,,,
,0.190,7.373,RfN,5.3,36.0,,,,,,,
,0.575,-3.291,RfN,9.4,1.2,,,,,,,
,0.047,27.118,RfN,6.5,12.4,,,,,,,
,0.577,-11.704,RfN,9.6,1.2,,,,,,,
,0.252,-15.831,RfN,6.8,17.0,,,,,,,
,-0.002,3.067,RfN,9.1,1.2,,,,,,,
,0.010,-5.052,RfN,9.3,1.8,,,,,,,
,0.025,5.701,RfN,9.5,0.6,,,,,,,
,0.067,0.371,RfN,9.1,2.2,,,,,,,
,0.037,-2.415,RfN,9.4,5.2,,,,,,,
,0.004,-0.087,RfN,9.4,5.6,,,,,,,
,0.003,2.936,RfN,8.8,1.2,,,,,,,
,0.050,-0.075,RfN,9.4,0.6,,,,,,,
,0.071,3.350,RfN,9.3,1.2,,,,,,,
,0.098,14.877,RfN,9.1,3.4,,,,,,,
,0.017,-12.019,RfN,5.5,36.0,,,,,,,
,0.910,26.353,RfN,8.0,1.2,,,,,,,
,0.002,7.200,RfN,8.3,8.0,,,,,,,
