,0.020,-0.397,DrkN,,19.0,,,,,,,
,0.005,-0.599,DrkN,,60.0,,,,,,,
,0.014,2.986,DrkN,,,,,,,,,
,0.038,-8.210,DrkN,,12.0,,,,,,,
,0.006,-0.199,DrkN,,8.0,,,,,,,
,0.016,0.036,DrkN,,,,,,,,,
,0.028,3.072,DrkN,,4.0,,,,,,,
,0.005,-0.133,DrkN,,,,,,,,,
,0.010,-0.114,DrkN,,4.0,,,,,,,
,-0.008,0.031,DrkN,,1.0,,,,,,,
,0.009,0.385,DrkN,,,,,Snake DCld,,,,
,0.009,-0.665,DrkN,,1.0,,,,,,,
,0.017,0.087,DrkN,,,,,,,,,
,0.003,2.167,DrkN,,,,,,,,,
,0.005,-2.382,DrkN,,,,,,,,,
,0.050,0.558,DrkN,,60.0,,,,,,,
,0.068,-1.737,DrkN,,180.0,,,,,,,
,0.078,5.981,DrkN,,30.0,,,,,,,
,0.006,-1.666,DrkN,,2.0,,,,,,,
,0.013,-2.648,DrkN,,,,,,,,,
,0.002,0.151,DrkN,,,,,,,,,
,0.006,-0.399,DrkN,,7.0,,,,,,,
,0.124,3.923,DrkN,,,,,,,,,
,0.266,-2.769,DrkN,,,,,,,,,
,0.010,-4.848,DrkN,,5.0,,,,,,,
,0.020,-4.631,DrkN,,,,,Parrot's Head,,,,
,0.006,8.386,DrkN,,2.0,,,,,,,
,0.007,-0.249,DrkN,,0.5,,,,,,,
,0.088,-3.918,DrkN,,3.0,,,,,,,
,-0.002,4.583,DrkN,,5.0,,,,,,,
,0.091,5.467,DrkN,,12.0,,,,,,,
,0.022,0.171,DrkN,,2.0,,,,,,,
,0.150,7.395,DrkN,,15.0,,,,,,,
,-0.005,-1.085,DrkN,,30.0,,,,,,,
,0.013,1.453,DrkN,,,,,,,,,
,0.045,0.375,DrkN,,60.0,,,,,,,
,0.070,-16.139,DrkN,,3.0,,,,,,,
,-0.000,4.584,DrkN,,7.0,,,,,,,
,-0.010,12.332,DrkN,,16.0,,,,,,,
,-0.001,0.334,DrkN,,8.0,,,,,,,
,0.084,-4.936,DrkN,,5.0,,,,,,,
,0.029,7.073,DrkN,,4.0,,,,,,,
,0.132,2.140,DrkN,,16.0,,,,,,,
,0.007,-2.382,DrkN,,0.5,,,,,,,
,0.018,1.837,DrkN,,2.0,,,,,,,
,0.011,0.068,DrkN,,5.0,,,,,,,
,0.001,-1.300,DrkN,,3.0,,,,,,,
,0.001,-1.250,DrkN,,0.7,,,,,,,
,0.009,2.769,DrkN,,11.0,,,,,,,
,0.008,-0.165,DrkN,,120.0,,,,,,,
,0.008,-1.716,DrkN,,18.0,,,,,,,
,0.005,2.351,DrkN,,16.0,,,,,,,
,0.029,-2.628,DrkN,,6.0,,,,,,,
,0.003,0.284,DrkN,,6.0,,,,,,,
,0.003,-0.516,DrkN,,,,,,,,,
,0.003,-0.233,DrkN,,1.0,,,,,,,
,0.004,-0.033,DrkN,,2.0,,,,,,,
,0.011,2.902,DrkN,,,,,,,,,
,0.005,-0.049,DrkN,,,,,,,,,
,0.009,-0.015,DrkN,,,,,,,,,
,0.023,-0.146,DrkN,,4.0,,,,,,,
,0.014,0.036,DrkN,,1.5,,,,,,,
,0.001,0.367,DrkN,,3.0,,,,,,,
