,-0.208,-3.720,HII,,6.0,,,,,,,
,-0.081,-1.339,HII,,5.0,,,,,,,
,-1.532,-17.823,HII,,720.0,,,,,,,
,0.993,9.967,HII,,65.0,,,,,,,
,1.106,7.524,HII,,9.0,,,,,,,
,0.135,0.880,HII,,50.0,,,,,,,
,0.073,0.590,HII,,80.0,,,,,,,
,-1.680,-15.727,HII,,10.0,,,,,,,
,-0.123,-1.500,HII,,35.0,,,,,,,
,1.614,14.637,HII,,40.0,,,,,,,
,0.268,-0.472,HII,,5.0,,,,,,,
,-0.223,-1.984,HII,,11.0,,,,,,,
,0.013,-0.069,HII,,3.0,,,,,,,
,-0.008,-0.032,HII,,1.0,,,,,,,
,0.003,0.033,HII,,3.0,,,,,,,
,0.012,-0.052,HII,,1.0,,,,,,,
,-0.032,-0.478,HII,,2.0,,,,,,,
,-1.275,-11.784,HII,,22.0,,,,,,,
,1.230,10.140,HII,,45.0,,,,,,,
,-1.036,-9.634,HII,,20.0,,,,,,,
,0.249,2.231,HII,,22.0,,,,,,,
,0.225,1.534,HII,,390.0,,,,,,,
,-0.277,-2.493,HII,,70.0,,,,,,,
,1.004,7.838,HII,,1.0,,,,,,,
,-0.049,-1.010,HII,,4.0,,,,,,,
,-0.094,-0.936,HII,,60.0,,,,,,,
,0.072,0.490,HII,,4.0,,,,,,,
,-0.073,-1.007,HII,,1.0,,,,,,,
,0.079,-0.461,HII,,2.0,,,,,,,
,0.001,-0.017,HII,,1.0,,,,,,,
,0.430,-2.429,HII,,250.0,,,,,,,
,0.805,3.354,HII,,8.0,,,,,,,
,-0.956,-8.332,HII,,100.0,,,,,,,
,-1.071,-8.895,HII,,1200.0,,,,,,,
,0.221,1.518,HII,,120.0,,,,,,,
,-0.349,-3.217,HII,,50.0,,,,,,,
,0.259,0.863,HII,,20.0,,,,,,,
,0.983,7.341,HII,,40.0,,,,,,,
,-0.990,-8.007,HII,,60.0,,,,,,,
,1.051,6.981,HII,,35.0,,,,,,,
,0.011,-0.801,HII,,3.0,,,,,,,
,0.107,-0.482,HII,,80.0,,,,,,,
